Pre0-Post1	Name	Broketrodes	Hello	TOVA	Vigilance	Saliency	Goodbye
1	1080		A16, B1, B3, B32, C14, D1, D16	A16, B1, B32, C14, C30, D1, D5, D6, D16	A16, B1, B32, C14, D1, D16	A16, B1, B32, C14, D1, D16	A16, B1, B32, C14, C30, D1, D5, D6, D16
1	1081				A4, A12, B24, C14, C15, C16, C32, D1, D3, D32		D2, D11
0	2001		B2, D8	B2	B2	B2	B2
0	2002						
0	2003		B3, B12, D3, C4, B25, B26, A12, A24	B3, B12, D3, A12, B26, C4,  C13, 	B3, B12, D3, A1, A25, B26, C31	B3, B12, D3, A1, B26, B32	B3, B12, D3, A1
0	2004		A1, C20, D1, D15, B32, C8	A1, C20, D1, D15, B32, D2	A1, C20, D1, D15, B32, D2	A1, C20, D1, D15, B32, D2	A1, C20, D1, D2, D15, B32
0	2005		C6	C6	C6	C6	C6
0	2006		A28, B3, D3	A28, B3, D3, C7	A28, B3, D3	 A28, B3, D3 	A28, B3, D3
0	2007		 D3, A28, B3, D8, D9, B29	 D3, A28, B3, D8, D9, D4, B29	 D3, D4, D8, D9, A28, B3, B29	 D3, A28, B3, B29, D4	D3, A28, B3, B29, D4
0	2008		A28, A13	A28, A13	A28, A13	A28, A13	A28, A13
0	2010		A2, B3, D3, A20, C29	A2, B3, D3, A20, C29, 	A2, B3, D3, A20, C29	A2, B3, D3, A20, C29	A2, B3, D3, A20, A21, A22, C29
0	2011						
0	2012		B3, D3, B10, B14	B3, D3,  B10, B14	B3, D3, B10, B14	B3, D3, B7, B10, B14	B3, D3, B10, B14
0	2016		B3	B3	B3, A17	B3	B3, A4
0	2017						
0	2018						
0	2019						
0	2020						
0	2021						
0	2022		B32				
